,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
0,aab,Arapesh (Abu),Kombio-Arapesh,Torricelli,,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
7,abi,Abipón,South Guaicuruan,Guaicuruan,South America,2 SVO,1 SV,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
8,abk,Abkhaz,Northwest Caucasian,Northwest Caucasian,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],11 Type 3 / Type 4,4 None
10,abn,Arabana,Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
12,abu,Abun,North-Central Bird's Head,West Papuan,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
13,abv,Abui,Greater Alor,Timor-Alor-Pantar,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
16,ace,Acehnese,Malayo-Sumbawan,Austronesian,Eurasia,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
17,acg,Achagua,Inland Northern Arawakan,Arawakan,South America,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
20,acl,Acholi,Nilotic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
23,aco,Acoma,Keresan,Keresan,North America,7 No dominant order,1 SV,3 No dominant order,3 No dominant order,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
26,adg,Adang,Greater Alor,Timor-Alor-Pantar,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
27,adi,Adioukrou,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
32,adz,Adzera,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],15 OptDoubleNeg,4 None
34,aeg,Arabic (Egyptian),Semitic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],3 NegV&[Neg-V],15 OptDoubleNeg,4 None
38,agb,Leggbó,Cross River,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
39,agc,Agta (Central),Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
40,agd,Agta (Dupaningan),Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
41,agh,Aghem,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
43,agm,Angami,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
54,ain,Ainu,Ainu,Ainu,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
56,aja,Aja,Kresh,Central Sudanic,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
57,ajg,Ajagbe,Kwa,Niger-Congo,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
62,akh,Akha,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
66,akn,Akan,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
70,ala,Alamblak,Sepik Hill,Sepik,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
71,alb,Albanian,Albanian,Indo-European,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
76,alk,Arop-Lokep,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
78,aln,Alune,Central Malayo-Polynesian,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
82,alw,Alawa,Alawa,Mangarrayi-Maran,Australia,7 No dominant order,3 No dominant order,3 No dominant order,3 No dominant order,4 None,1 NegV,1 NegV,4 None
84,aly,Alyawarra,Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
86,amb,Ambulas,Middle Sepik,Sepik,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
87,amc,Amahuaca,Panoan,Panoan,South America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
89,ame,Amele,Madang,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
90,amh,Amharic,Semitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
93,aml,Ambae (Lolovoli Northeast),Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
95,amn,Amanab,Border,Border,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
97,amp,Arrernte (Mparntwe),Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
98,amq,Ambai,South Halmahera - West New Guinea,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
100,ams,Arabic (Modern Standard),Semitic,Afro-Asiatic,Eurasia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
106,anc,Angas,West Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
107,ane,Anêm,Anêm,Anêm,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
108,ang,Anggor,Senagi,Senagi,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
109,ani,//Ani,Khoe-Kwadi,Khoe-Kwadi,Africa,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
110,anj,Anejom,Oceanic,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
115,anu,Anufo,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
117,any,Anywa,Nilotic,Eastern Sudanic,Africa,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
118,ao,Ao,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
119,aoj,Mufian,Kombio-Arapesh,Torricelli,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
126,apl,Apalaí,Cariban,Cariban,South America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
127,apt,Apatani,Tani,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
128,apu,Apurinã,Purus,Arawakan,South America,2 SVO,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
130,ara,Arawak,Caribbean Arawakan,Arawakan,South America,2 SVO,3 No dominant order,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
132,arc,Archi,Lezgic,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
134,arg,Arabic (Gulf),Semitic,Afro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
137,arj,Arabic (Kuwaiti),Semitic,Afro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
140,arm,Armenian (Eastern),Armenian,Indo-European,Eurasia,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,4 None,3 NegV&[Neg-V],7 Type 1 / Type 3,4 None
142,aro,Arosi,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
143,arp,Arapesh (Mountain),Kombio-Arapesh,Torricelli,Papunesia,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
144,arq,Arabic (Iraqi),Semitic,Afro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
148,arw,Armenian (Western),Armenian,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,3 NegV&[Neg-V],7 Type 1 / Type 3,4 None
153,asm,Asmat,Asmat-Kamoro,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
155,ass,Assamese,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
158,asy,Arabic (Syrian),Semitic,Afro-Asiatic,Eurasia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
162,ath,Athpare,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
169,au,Au,Wapei-Palei,Torricelli,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
173,ava,Avar,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
177,awa,Awa,Eastern Highlands,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
183,awp,Awa Pit,Barbacoan,Barbacoan,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,3 VNeg&[V-Neg],1 NegV,14 ObligDoubleNeg,4 None
184,awt,Awtuw,Ram,Sepik,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
188,aym,Aymara (Central),Aymaran,Aymaran,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
193,aze,Azerbaijani,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
195,baa,Barai,Koiarian,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
196,bab,Babungo,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
197,bac,Bachamal,Anson Bay,Anson Bay,Australia,7 No dominant order,3 No dominant order,3 No dominant order,3 No dominant order,4 None,1 NegV,1 NegV,4 None
199,bae,Baré,Inland Northern Arawakan,Arawakan,South America,2 SVO,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
200,baf,Bafut,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,14 ObligDoubleNeg,4 None
201,bag,Bagirmi,Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
203,bai,Bai,Bai,Sino-Tibetan,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
204,baj,Bajau (Sama),Sama-Bajaw,Austronesian,Papunesia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
205,bak,Baka (in Cameroon),Ubangi,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
207,bam,Bambara,Western Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
210,baq,Baure,Bolivia-Parana,Arawakan,South America,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
211,bar,Bari,Nilotic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
212,bas,Basaá,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
215,baw,Bawm,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
217,bbl,Babole,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
219,bbu,Barambu,Ubangi,Niger-Congo,Africa,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,1 VNeg,2 [Neg-V],15 OptDoubleNeg,4 None
220,bbw,Bininj Gun-Wok,Gunwinygic,Gunwinyguan,Australia,7 No dominant order,1 SV,1 OV,3 No dominant order,4 None,1 NegV,1 NegV,4 None
222,bch,Berber (Chaouia),Berber,Afro-Asiatic,Africa,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
223,bco,Bella Coola,Bella Coola,Salishan,North America,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
227,bdm,Badimaya,Western Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
234,bej,Beja,Beja,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,3 No dominant order,4 None,2 [Neg-V],3 [Neg-V],4 None
239,ber,Berta,Berta,Berta,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
243,bfg,Berber (Figuig),Berber,Afro-Asiatic,,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
251,bgo,Bongo,Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,3 No dominant order,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
258,bho,Bhojpuri,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
260,bia,Bira,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
261,bid,Bidiya,East Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
263,bii,Biri,Northern Pama-Nyungan,Pama-Nyungan,Australia,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
264,bik,Biak,South Halmahera - West New Guinea,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
265,bil,Bilua,Bilua,Solomons East Papuan,Papunesia,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
270,bir,Birom,Platoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
273,biu,Bisu,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
275,bka,Baka (in Sudan),Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
281,bkr,Batak (Karo),Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
283,bku,Bakueri,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
284,bla,Blackfoot,Algonquian,Algic,North America,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
286,ble,Baule,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,4 None,14 ObligDoubleNeg,1 NegTone
290,bln,Bilin,Central Cushitic,Afro-Asiatic,Africa,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
292,blr,Belorussian,Slavic,Indo-European,Eurasia,7 No dominant order,3 No dominant order,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
293,blt,Balti,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
295,blx,Biloxi,Core Siouan,Siouan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,2 [Neg-V],15 OptDoubleNeg,4 None
297,blz,Balanta,Northern Atlantic,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
307,bni,Bini,Edoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
312,bnn,Banoni,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
324,bok,Boko,Eastern Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
344,bra,Brao,Bahnaric,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
348,bre,Breton,Celtic,Indo-European,Eurasia,2 SVO,2 VS,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
349,brf,Berber (Rif),Berber,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
351,bri,Bribri,Talamanca,Chibchan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
354,brl,Baragaunle,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
355,brm,Burmese,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
356,brn,Burunge,Southern Cushitic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
358,brp,Barupu,Warapu,Skou,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
360,brs,Barasano,Tucanoan,Tucanoan,South America,7 No dominant order,3 No dominant order,1 OV,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
366,bsh,Bushoong,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
372,bsq,Basque,Basque,Basque,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
376,btk,Bontok,Northern Luzon,Austronesian,Papunesia,7 No dominant order,3 No dominant order,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
377,bto,Batak (Toba),Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
378,bua,Burarra,Burarran,Mangrida,Australia,1 SOV,1 SV,1 OV,3 No dominant order,4 None,1 NegV,1 NegV,4 None
380,bud,Buduma,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
385,bul,Bulgarian,Slavic,Indo-European,Eurasia,2 SVO,3 No dominant order,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
386,bum,Buma,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
388,bur,Burushaski,Burushaski,Burushaski,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
389,bus,Busa,Eastern Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
390,but,Buriat,Mongolic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
394,bvi,Bali-Vitu,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
396,bwc,Bajau (West Coast),Sama-Bajaw,Austronesian,Papunesia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
405,cah,Cahuilla,California Uto-Aztecan,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
406,cai,Chai,Surmic,Eastern Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
407,cak,Cakchiquel,Mayan,Mayan,North America,4 VOS,2 VS,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
408,cam,Camsá,Camsá,Camsá,South America,7 No dominant order,1 SV,3 No dominant order,3 No dominant order,4 None,2 [Neg-V],3 [Neg-V],4 None
411,car,Carib,Cariban,Cariban,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
412,cas,Cashibo,Panoan,Panoan,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
415,cax,Campa (Axininca),Pre-Andine Arawakan,Arawakan,South America,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
416,cay,Cayapa,Barbacoan,Barbacoan,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
418,cbo,Chácobo,Panoan,Panoan,South America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
421,ccm,Chinantec (Comaltepec),Chinantecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
424,cct,Choctaw,Muskogean,Muskogean,North America,1 SOV,1 SV,1 OV,4 Only internally-headed relative clauses,2 [V-Neg],4 None,4 [V-Neg],4 None
425,cde,Carib (De'kwana),Cariban,Cariban,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
429,cem,Cèmuhî,Oceanic,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
430,cga,Chaga,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
431,cha,Chamorro,Chamorro,Austronesian,Papunesia,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
432,chb,Chambri,Lower Sepik,Lower Sepik-Ramu,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,3 NegV&[Neg-V],14 ObligDoubleNeg,4 None
433,chc,Chechen,Nakh,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
434,chd,Chaudangsi,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
435,che,Cherokee,Southern Iroquoian,Iroquoian,North America,7 No dominant order,3 No dominant order,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
436,chg,Chang,Northern Naga,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,3 No dominant order,4 None,2 [Neg-V],3 [Neg-V],4 None
437,chh,Chaha,Semitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
440,chk,Chukchi,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,7 No dominant order,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
446,chq,Chinantec (Quiotepec),Chinantecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
447,chr,Chrau,Bahnaric,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
451,chv,Chuvash,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
452,chw,Cham (Western),Malayo-Sumbawan,Austronesian,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
456,cic,Chichewa,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
461,ckl,Chinook (Lower),Chinookan,Penutian,North America,4 VOS,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
