,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
2216,tak,Takia,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2218,tam,Tamang (Eastern),Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2220,tao,Tarao,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2223,tar,Tariana,Inland Northern Arawakan,Arawakan,South America,1 SOV,1 SV,1 OV,3 No dominant order,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
2226,tau,Tauya,Madang,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2227,taw,Tawala,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2230,tba,Tabare,Chimbu,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2233,tbl,Tabla,Sentani,Sentani,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,3 VNeg&[V-Neg],2 [Neg-V],16 OptTripleNeg&ObligDoubleNeg,2 NegInfix
2234,tbo,Tboli,Bilic,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2237,tbt,Tobati,Oceanic,Austronesian,Papunesia,6 OSV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
2238,tbu,Tubu,Western Saharan,Saharan,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2239,tbw,Tabwa,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2241,tce,Tarahumara (Central),Tarahumaran,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2244,tdr,Tibetan (Drokpa),Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2246,tee,Tepehua (Huehuetla),Totonacan,Totonacan,North America,7 No dominant order,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2248,tel,Telugu,South-Central Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2250,ten,Tennet,Surmic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2251,teo,Teop,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
2252,tep,Tepehua (Tlachichilco),Totonacan,Totonacan,North America,2 SVO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2253,ter,Tera,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
2254,tes,Teso,Nilotic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2261,tgk,Tigak,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2262,tgl,Tshangla,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,3 VNeg&[V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
