,Name,genus,family,macroarea,longitude,latitude,"81A Order of Subject, Object and Verb",33A Coding of Nominal Plurality,51A Position of Case Affixes,143A Order of Negative Morpheme and Verb,"144A Position of Negative Word With Respect to Subject, Object, and Verb"
1645,Mangarrayi,Mangarrayi,Mangarrayi-Maran,Australia,133.5,-14.666666666700001,5 OVS,2 Plural suffix,5 Mixed morphological case,1 NegV,13 ONegVS
1709,Ngiyambaa,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,145.5,-31.75,,2 Plural suffix,1 Case suffixes,1 NegV,21 Other
1740,Nivkh,Nivkh,Nivkh,Eurasia,142.0,53.3333333333,1 SOV,2 Plural suffix,1 Case suffixes,15 OptDoubleNeg,19 OptDoubleNeg
1842,Oneida,Northern Iroquoian,Iroquoian,North America,-75.6666666667,43.0,7 No dominant order,6 Mixed morphological plural,1 Case suffixes,15 OptDoubleNeg,21 Other
1853,Oromo (Harar),Lowland East Cushitic,Afro-Asiatic,Africa,42.0,9.0,1 SOV,9 No plural,1 Case suffixes,14 ObligDoubleNeg,18 ObligDoubleNeg
1876,Paiwan,Paiwan,Austronesian,Papunesia,120.833333333,22.5,7 No dominant order,,9 No case affixes or adpositional clitics,1 NegV,16 More than one position
1942,Pirahã,Mura,Mura,South America,-62.0,-7.0,1 SOV,9 No plural,1 Case suffixes,4 [V-Neg],20 MorphNeg
1946,Persian,Iranian,Indo-European,Eurasia,54.0,32.0,1 SOV,2 Plural suffix,9 No case affixes or adpositional clitics,3 [Neg-V],20 MorphNeg
1981,Quechua (Imbabura),Quechuan,Quechuan,South America,-78.0,0.33333333333299997,1 SOV,2 Plural suffix,1 Case suffixes,1 NegV,16 More than one position
1989,Rama,Rama,Chibchan,North America,-83.75,11.75,1 SOV,8 Plural clitic,9 No case affixes or adpositional clitics,8 Type 1 / Type 4,16 More than one position
1991,Rapanui,Oceanic,Austronesian,Papunesia,-109.366666667,-27.116666666700002,3 VSO,7 Plural word,9 No case affixes or adpositional clitics,15 OptDoubleNeg,19 OptDoubleNeg
2038,Russian,Slavic,Indo-European,Eurasia,38.0,56.0,2 SVO,2 Plural suffix,1 Case suffixes,1 NegV,2 SNegVO
2050,Sango,Ubangi,Niger-Congo,Africa,18.0,5.0,2 SVO,1 Plural prefix,9 No case affixes or adpositional clitics,2 VNeg,4 SVONeg
2120,Slave,Athapaskan,Na-Dene,North America,-125.0,67.0,1 SOV,2 Plural suffix,9 No case affixes or adpositional clitics,2 VNeg,8 SOVNeg
2141,Sanuma,Yanomam,Yanomam,South America,-64.6666666667,4.5,1 SOV,7 Plural word,6 Postpositional clitics,2 VNeg,8 SOVNeg
2155,Spanish,Romance,Indo-European,Eurasia,-4.0,40.0,2 SVO,2 Plural suffix,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
2193,Supyire,Gur,Niger-Congo,Africa,-5.583333333330001,11.5,1 SOV,2 Plural suffix,9 No case affixes or adpositional clitics,15 OptDoubleNeg,19 OptDoubleNeg
2201,Swahili,Bantoid,Niger-Congo,Africa,39.0,-6.5,2 SVO,1 Plural prefix,5 Mixed morphological case,3 [Neg-V],20 MorphNeg
2212,Tagalog,Greater Central Philippine,Austronesian,Papunesia,121.0,15.0,3 VSO,7 Plural word,,1 NegV,9 NegVSO
2268,Thai,Kam-Tai,Tai-Kadai,Eurasia,101.0,16.0,2 SVO,,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
2292,Tiwi,Tiwian,Tiwian,Australia,131.0,-11.5,2 SVO,2 Plural suffix,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
2368,Trumai,Trumai,Trumai,South America,-53.5833333333,-11.916666666700001,7 No dominant order,7 Plural word,1 Case suffixes,2 VNeg,16 More than one position
2400,Tukang Besi,Celebic,Austronesian,Papunesia,123.5,-5.5,4 VOS,9 No plural,9 No case affixes or adpositional clitics,1 NegV,12 NegVOS
2405,Turkish,Turkic,Altaic,Eurasia,35.0,39.0,1 SOV,2 Plural suffix,1 Case suffixes,4 [V-Neg],20 MorphNeg
2472,Vietnamese,Viet-Muong,Austro-Asiatic,Eurasia,106.5,10.5,2 SVO,7 Plural word,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
2487,Wari',Chapacura-Wanham,Chapacura-Wanham,South America,-65.0,-11.333333333299999,4 VOS,7 Plural word,9 No case affixes or adpositional clitics,1 NegV,12 NegVOS
2494,Wichí,Matacoan,Matacoan,South America,-62.5833333333,-22.5,2 SVO,2 Plural suffix,9 No case affixes or adpositional clitics,8 Type 1 / Type 4,16 More than one position
2505,Wichita,Caddoan,Caddoan,North America,-97.3333333333,33.3333333333,7 No dominant order,9 No plural,1 Case suffixes,1 NegV,16 More than one position
2532,Warao,Warao,Warao,South America,-61.6666666667,9.333333333330001,,2 Plural suffix,,4 [V-Neg],20 MorphNeg
2568,Yagua,Peba-Yaguan,Peba-Yaguan,South America,-72.0,-3.5,7 No dominant order,2 Plural suffix,1 Case suffixes,1 NegV,21 Other
2576,Yaqui,Cahita,Uto-Aztecan,North America,-110.25,27.5,1 SOV,2 Plural suffix,1 Case suffixes,1 NegV,6 SNegOV
2607,Yukaghir (Kolyma),Yukaghir,Yukaghir,Eurasia,150.83333333299998,65.75,1 SOV,2 Plural suffix,1 Case suffixes,3 [Neg-V],20 MorphNeg
2625,Yoruba,Defoid,Niger-Congo,Africa,4.33333333333,8.0,2 SVO,7 Plural word,9 No case affixes or adpositional clitics,1 NegV,2 SNegVO
2675,Zulu,Bantoid,Niger-Congo,Africa,30.0,-30.0,2 SVO,1 Plural prefix,2 Case prefixes,15 OptDoubleNeg,20 MorphNeg
