,Name,genus,family,macroarea,longitude,latitude,82A Order of Subject and Verb,83A Order of Object and Verb,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
1386,Maori,Oceanic,Austronesian,Papunesia,176.0,-40.0,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
1387,Mapudungun,Araucanian,Araucanian,South America,-72.0,-38.0,2 VS,2 VO,2 [V-Neg],4 None,4 [V-Neg],4 None
1388,Maricopa,Yuman,Hokan,North America,-113.166666667,33.1666666667,1 SV,1 OV,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1390,Maung,Iwaidjan,Iwaidjan,Australia,133.5,-11.916666666700001,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
1394,Maybrat,North-Central Bird's Head,West Papuan,Papunesia,132.5,-1.33333333333,1 SV,2 VO,1 VNeg,4 None,2 VNeg,4 None
1439,Meithei,Kuki-Chin,Sino-Tibetan,Eurasia,94.0,24.75,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1523,Mandarin,Chinese,Sino-Tibetan,Eurasia,110.0,34.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
1579,Martuthunira,Western Pama-Nyungan,Pama-Nyungan,Australia,116.5,-20.8333333333,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
1629,Mixtec (Chalcatongo),Mixtecan,Oto-Manguean,North America,-97.5833333333,17.05,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
1645,Mangarrayi,Mangarrayi,Mangarrayi-Maran,Australia,133.5,-14.666666666700001,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
1709,Ngiyambaa,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,145.5,-31.75,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
1740,Nivkh,Nivkh,Nivkh,Eurasia,142.0,53.3333333333,1 SV,1 OV,3 VNeg&[V-Neg],4 None,15 OptDoubleNeg,4 None
1842,Oneida,Northern Iroquoian,Iroquoian,North America,-75.6666666667,43.0,2 VS,2 VO,4 None,3 NegV&[Neg-V],15 OptDoubleNeg,4 None
1853,Oromo (Harar),Lowland East Cushitic,Afro-Asiatic,Africa,42.0,9.0,1 SV,1 OV,4 None,2 [Neg-V],14 ObligDoubleNeg,1 NegTone
1876,Paiwan,Paiwan,Austronesian,Papunesia,120.833333333,22.5,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
1942,Pirahã,Mura,Mura,South America,-62.0,-7.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1946,Persian,Iranian,Indo-European,Eurasia,54.0,32.0,1 SV,1 OV,4 None,2 [Neg-V],3 [Neg-V],4 None
1981,Quechua (Imbabura),Quechuan,Quechuan,South America,-78.0,0.33333333333299997,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
1989,Rama,Rama,Chibchan,North America,-83.75,11.75,1 SV,1 OV,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
1991,Rapanui,Oceanic,Austronesian,Papunesia,-109.366666667,-27.116666666700002,2 VS,2 VO,4 None,1 NegV,15 OptDoubleNeg,4 None
2038,Russian,Slavic,Indo-European,Eurasia,38.0,56.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
2050,Sango,Ubangi,Niger-Congo,Africa,18.0,5.0,1 SV,2 VO,1 VNeg,4 None,2 VNeg,4 None
2120,Slave,Athapaskan,Na-Dene,North America,-125.0,67.0,1 SV,1 OV,1 VNeg,4 None,2 VNeg,4 None
2141,Sanuma,Yanomam,Yanomam,South America,-64.6666666667,4.5,1 SV,1 OV,1 VNeg,4 None,2 VNeg,4 None
2155,Spanish,Romance,Indo-European,Eurasia,-4.0,40.0,3 No dominant order,2 VO,4 None,1 NegV,1 NegV,4 None
2193,Supyire,Gur,Niger-Congo,Africa,-5.583333333330001,11.5,1 SV,1 OV,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
2201,Swahili,Bantoid,Niger-Congo,Africa,39.0,-6.5,1 SV,2 VO,4 None,2 [Neg-V],3 [Neg-V],4 None
2212,Tagalog,Greater Central Philippine,Austronesian,Papunesia,121.0,15.0,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
2268,Thai,Kam-Tai,Tai-Kadai,Eurasia,101.0,16.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
2292,Tiwi,Tiwian,Tiwian,Australia,131.0,-11.5,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
2368,Trumai,Trumai,Trumai,South America,-53.5833333333,-11.916666666700001,1 SV,3 No dominant order,1 VNeg,4 None,2 VNeg,4 None
2400,Tukang Besi,Celebic,Austronesian,Papunesia,123.5,-5.5,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
2405,Turkish,Turkic,Altaic,Eurasia,35.0,39.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
2472,Vietnamese,Viet-Muong,Austro-Asiatic,Eurasia,106.5,10.5,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
2487,Wari',Chapacura-Wanham,Chapacura-Wanham,South America,-65.0,-11.333333333299999,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
2494,Wichí,Matacoan,Matacoan,South America,-62.5833333333,-22.5,1 SV,2 VO,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
2505,Wichita,Caddoan,Caddoan,North America,-97.3333333333,33.3333333333,3 No dominant order,1 OV,4 None,1 NegV,1 NegV,4 None
2532,Warao,Warao,Warao,South America,-61.6666666667,9.333333333330001,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
2568,Yagua,Peba-Yaguan,Peba-Yaguan,South America,-72.0,-3.5,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
2576,Yaqui,Cahita,Uto-Aztecan,North America,-110.25,27.5,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
2607,Yukaghir (Kolyma),Yukaghir,Yukaghir,Eurasia,150.83333333299998,65.75,1 SV,1 OV,4 None,2 [Neg-V],3 [Neg-V],4 None
2625,Yoruba,Defoid,Niger-Congo,Africa,4.33333333333,8.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
2675,Zulu,Bantoid,Niger-Congo,Africa,30.0,-30.0,1 SV,2 VO,2 [V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
